id_municipio,alunos,taxa_prevista,taxa_real_2024,meta_2025,meta_2030,nome,sigla_uf,gap_previsto_meta_2025
2925907,132,0.3805412204280335,0.3484848484848485,51.51,80.0,Quijingue,BA,-13.455877957196648
3165578,116,0.5982974999447126,0.646551724137931,73.26,80.0,Senador Amaral,MG,-13.430250005528748
2802908,787,0.2845000623334767,0.40025412960609913,41.88,80.0,Itabaiana,SE,-13.429993766652334
2903201,1654,0.37730470137501804,0.36094316807738813,51.14,80.0,Barreiras,BA,-13.409529862498196
1501808,990,0.4219596342992098,0.5666666666666667,55.57,80.0,Breves,PA,-13.37403657007902
2925006,181,0.3935806721768651,0.2430939226519337,52.73,80.0,Planalto,BA,-13.371932782313486
1301654,158,0.5436045680935928,0.5506329113924051,67.73,80.0,Guajará,AM,-13.369543190640726
2906303,272,0.30577968244422693,0.2867647058823529,43.93,80.0,Canavieiras,BA,-13.352031755577308
2107704,261,0.6583924624591505,0.7471264367816092,79.18,80.0,Paraibano,MA,-13.340753754084957
2804201,169,0.2685017604808674,0.35502958579881655,40.19,80.0,Monte Alegre de Sergipe,SE,-13.33982395191326
2205805,209,0.47620199200628444,0.5502392344497608,60.96,80.0,Luzilândia,PI,-13.33980079937156
2106375,122,0.641776666485173,0.9754098360655737,77.48,80.0,Maranhãozinho,MA,-13.302333351482716
3547601,199,0.6279441706035822,0.7537688442211056,76.07,80.0,Santa Rosa de Viterbo,SP,-13.275582939641772
2910503,255,0.2744305196182347,0.3254901960784314,40.71,80.0,Entre Rios,BA,-13.26694803817653
2111607,254,0.6054798116396664,0.8464566929133859,73.81,80.0,São Raimundo das Mangabeiras,MA,-13.26201883603337
1300102,277,0.6393527720093382,0.7545126353790613,77.19,80.0,Anori,AM,-13.25472279906618
2100808,109,0.6675493001597983,0.3394495412844037,80.0,80.0,Anapurus,MA,-13.245069984020176
2803203,351,0.2653197843362589,0.396011396011396,39.77,80.0,Itaporanga d'Ajuda,SE,-13.238021566374112
2610301,138,0.626905969115438,0.6666666666666666,75.92,80.0,Paranatama,PE,-13.229403088456195
2608503,165,0.6014184520203294,0.793939393939394,73.36,80.0,Lagoa de Itaenga,PE,-13.21815479796706
2910800,3528,0.332092832749842,0.33191609977324266,46.42,80.0,Feira de Santana,BA,-13.2107167250158
3155504,193,0.6588906756078201,0.6113989637305699,79.08,80.0,Rio Paranaíba,MG,-13.190932439217988
2907103,316,0.3037322691546155,0.31962025316455694,43.56,80.0,Carinhanha,BA,-13.186773084538455
1713304,132,0.48330334300708133,0.6363636363636364,61.51,80.0,Miranorte,TO,-13.179665699291867
1301803,248,0.5331166619032868,0.6451612903225806,66.47,80.0,Ipixuna,AM,-13.15833380967132
2914901,218,0.33555591947916097,0.3119266055045872,46.71,80.0,Itacaré,BA,-13.154408052083902
2205508,451,0.4650877824234986,0.43015521064301554,59.65,80.0,José de Freitas,PI,-13.141221757650143
2901155,192,0.334659250200695,0.4322916666666667,46.6,80.0,América Dourada,BA,-13.134074979930503
2931202,141,0.3866096542885733,0.475177304964539,51.79,80.0,Taperoá,BA,-13.129034571142668
2706505,172,0.41027944329801846,0.32558139534883723,54.15,80.0,Passo de Camaragibe,AL,-13.12205567019815
3140902,247,0.6690272879204633,0.8097165991902834,80.0,80.0,Matipó,MG,-13.097271207953668
2102002,332,0.6692553192616768,0.6867469879518072,80.0,80.0,Bom Jardim,MA,-13.074468073832321
2911600,141,0.3727073235242613,0.2907801418439716,50.34,80.0,Governador Mangabeira,BA,-13.069267647573874
5107701,137,0.49200298101255735,0.5547445255474452,62.26,80.0,Rosário Oeste,MT,-13.059701898744265
2104305,158,0.6698334152123618,0.879746835443038,80.0,80.0,Godofredo Viana,MA,-13.016658478763816
2206209,329,0.3894390636586903,0.60790273556231,51.94,80.0,Miguel Alves,PI,-12.996093634130965
2500601,216,0.517432072177392,0.3101851851851852,64.73,80.0,Alhandra,PB,-12.986792782260807
2104909,127,0.6704605375583446,0.8661417322834646,80.0,80.0,Guimarães,MA,-12.95394624416555
1500404,745,0.3699508314484343,0.35570469798657717,49.94,80.0,Alenquer,PA,-12.944916855156563
2402204,309,0.38004241883073053,0.31715210355987056,50.93,80.0,Canguaretama,RN,-12.92575811692695
2100204,110,0.6256408022602662,0.7090909090909091,75.46,80.0,Alcântara,MA,-12.895919773973375
2904704,140,0.26835656062565305,0.2857142857142857,39.73,80.0,Buerarema,BA,-12.89434393743469
3142809,218,0.6347504699667452,0.5688073394495413,76.36,80.0,Monte Alegre de Minas,MG,-12.884953003325478
3528809,110,0.6711879882233,0.9090909090909091,80.0,80.0,Maracaí,SP,-12.881201177670007
2516003,187,0.6612393210793563,0.45989304812834225,78.98,80.0,Solânea,PB,-12.856067892064374
2903904,683,0.3513225266142753,0.34553440702781846,47.96,80.0,Bom Jesus da Lapa,BA,-12.827747338572472
2909802,432,0.35741349134913414,0.33564814814814814,48.56,80.0,Cruz das Almas,BA,-12.818650865086589
2104073,109,0.6719058278037653,0.6513761467889908,80.0,80.0,Feira Nova do Maranhão,MA,-12.80941721962347
