id_municipio,alunos,soma_rw,soma_w,taxa_real_2024,risco_previsto,nome,sigla_uf
2615508,123,46.799371891087354,129.93,0.7317073170731707,0.36018911637872203,Tracunhaém,PE
3117702,129,48.2093942805449,133.92,0.7829457364341085,0.3599865164317869,Conceição do Rio Verde,MG
3149309,602,238.42509170963623,662.4,0.7591362126245847,0.3599412616389436,Pedro Leopoldo,MG
5103700,153,60.802632740897415,169.0,0.5163398692810458,0.35977889195797286,Feliz Natal,MT
3164704,668,257.5979971652281,716.04,0.812874251497006,0.35975364108880525,São Sebastião do Paraíso,MG
3513801,3765,1493.9153669521468,4153.000019,0.6,0.3597195666066639,Diadema,SP
4212304,118,49.23284775891421,136.94,0.3983050847457627,0.3595213068417863,Paulo Lopes,SC
4316402,280,124.38718688733871,346.0000026,0.37142857142857144,0.359500537435368,Rosário do Sul,RS
3127701,2139,889.1366484172656,2474.11,0.6961196820944366,0.35937636096101855,Governador Valadares,MG
4209003,185,93.89739261404873,261.3,0.7405405405405405,0.3593470823346679,Joaçaba,SC
3520400,410,170.98329539877585,475.9999996,0.43414634146341463,0.3592086040807968,Ilhabela,SP
3112505,110,44.134328166082625,123.09,0.7818181818181819,0.358553320059165,Capim Branco,MG
3103751,117,45.888195501459,128.02,0.7350427350427351,0.3584455202426105,Araporã,MG
2106375,122,46.20364555674238,128.98,0.9754098360655737,0.358223333514827,Maranhãozinho,MA
4306601,312,134.67310076897087,375.9999992,0.4807692307692308,0.35817314110507814,Dom Pedrito,RS
3146107,607,243.23301099618436,679.38,0.7462932454695222,0.358022036262746,Ouro Preto,MG
3523909,1577,638.3278478765418,1783.0000054,0.6195307545973368,0.35800776553185637,Itu,SP
3500709,330,129.94141105891248,362.9999978,0.6515151515151515,0.35796532189100877,Agudos,SP
3159902,161,62.37483108256089,174.3,0.8074534161490683,0.35785904235548416,Santo Antônio do Amparo,MG
5106307,308,128.74642597364257,359.83,0.6071428571428571,0.35779792116733616,Paranatinga,MT
3113909,132,51.179173927231645,143.17000000000002,0.7878787878787878,0.3574713552226838,Carmo da Cachoeira,MG
5105176,147,59.319038358094076,165.99,0.7346938775510204,0.35736513258686714,Juruena,MT
3114402,163,65.14253349349208,182.29,0.6871165644171779,0.35735659385315754,Carmo do Rio Claro,MG
3158003,103,42.86175043514562,120.0,0.7766990291262136,0.3571812536262135,Santa Maria de Itabira,MG
3546306,278,113.90296311326404,319.0000024,0.6007194244604317,0.3570625776059995,Santa Cruz das Palmeiras,SP
5106232,240,90.32382734106073,253.02,0.575,0.356982955264646,Nova Olímpia,MT
3524402,2047,850.6288992054689,2384.0000055,0.5192965315095261,0.35680742334019633,Jacareí,SP
4200705,114,55.42470378330095,155.34,0.4824561403508772,0.3567960846098941,Alfredo Wagner,SC
4301602,899,383.62359547513495,1075.8333389,0.43047830923248054,0.35658273600944174,Bagé,RS
1101500,186,70.8320705489123,198.86,0.6612903225806451,0.35619063938907924,Seringueiras,RO
3154804,111,43.87919726499212,123.21000000000001,0.7297297297297297,0.3561334085300878,Rio Acima,MG
3525706,320,120.7060849168693,339.0000023,0.59375,0.35606514483162083,José Bonifácio,SP
2110005,694,272.92341978991936,766.53,0.5951008645533141,0.3560505391699208,Santa Luzia,MA
3522208,1878,737.8285645325122,2073.0000103,0.5537806176783813,0.3559230877310682,Itapecerica da Serra,SP
5106182,121,46.926774017980954,131.9,0.6776859504132231,0.35577539058363117,Nova Lacerda,MT
4313409,2045,874.9163077916912,2459.9999933999998,0.37359413202933983,0.3556570366418812,Novo Hamburgo,RS
3509502,8899,3501.737796830103,9851.9999936,0.6624339813462187,0.35543420616168103,Campinas,SP
3529708,155,69.30272334549446,195.0,0.3096774193548387,0.3553985812589459,Miguelópolis,SP
3500303,355,144.63449282460084,407.0000012,0.6169014084507042,0.3553673031895825,Aguaí,SP
3304706,331,129.08296750358846,363.3,0.7462235649546828,0.3553068194428529,Santo Antônio de Pádua,RJ
3169000,152,59.75561637541207,168.19,0.7105263157894737,0.3552863807325767,Tocantins,MG
